Rank,Team,Subdivision,Record,Score,Week 1 Score,Week 2 Opponent Rank Points,Week 2 Win Points,Week 2 Margin Points,Week 2 Game Points,Opponent Strength
121,Dayton,FCS,2-0,43.0,21.5,0.0,10.0,11.5,21.5,0.0
122,Central Michigan,FBS,1-1,38.5,-164.5,190.0,10.0,3.0,203.0,323.5
123,Colgate,FCS,2-1,38.5,161.0,-121.0,0.0,-1.5,-122.5,292.0
124,Fresno State,FBS,1-1,38.5,-172.5,155.0,10.0,46.0,211.0,288.5
125,UAlbany,FCS,2-1,37.25,10.0,11.25,5.0,11.0,27.25,289.5
126,Marshall,FBS,1-1,36.5,-178.5,203.0,10.0,2.0,215.0,336.5
127,Kent State,FBS,1-1,27.5,-190.5,187.0,10.0,21.0,218.0,320.5
128,Central Arkansas,FCS,2-1,26.5,-3.0,0.0,10.0,19.5,29.5,267.0
129,Western Michigan,FBS,1-1,25.0,-134.5,114.5,10.0,35.0,159.5,248.0
130,North Texas,FBS,1-1,24.5,-169.5,146.0,10.0,38.0,194.0,279.5
131,Florida State,FBS,1-1,24.0,24.0,0.0,0.0,0.0,0.0,267.0
132,Delaware State,FCS,2-1,22.5,5.0,0.0,10.0,7.5,17.5,267.0
133,Wofford,FCS,2-1,16.5,159.5,-132.5,0.0,-10.5,-143.0,269.0
134,Lamar,FCS,2-1,16.0,-7.0,15.0,5.0,3.0,23.0,297.0
135,Morgan State,FCS,2-1,16.0,-21.5,0.0,10.0,27.5,37.5,267.0
136,Cal Poly,FCS,2-1,9.25,87.25,-73.0,0.0,-5.0,-78.0,254.5
137,Richmond,FCS,2-1,3.5,157.5,-117.5,0.0,-36.5,-154.0,299.0
138,Brown,FCS,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,Columbia,FCS,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,Cornell,FCS,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,Dartmouth,FCS,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,Harvard,FCS,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
